covariate,coef,exp(coef),se(coef),coef lower 95%,coef upper 95%,exp(coef) lower 95%,exp(coef) upper 95%,cmp to,z,p,-log2(p)
ppm_proxy_flag,-8.494344079109851e-06,0.9999915056919977,0.004778357508764795,-0.009373902966514643,0.009356914278356422,0.9906698951021127,1.009400827056601,0.0,-0.0017776702692355974,0.9985816250850158,0.0020477350275110986
approach_TAVR,-5.778017817006902e-07,0.9999994221983852,0.003266838904959244,-0.0064034643987960875,0.006402308795232686,0.9936169940876682,1.006422847382251,0.0,-0.0001768687708547718,0.9998588791391826,0.00020360873312503725
approach_ViV-TAVR,6.991246090983742e-22,1.0,0.00634784538265933,-0.012441548329441164,0.012441548329441164,0.987635527753238,1.012519266368323,0.0,1.101357337732582e-19,1.0,-0.0
