replicate,n_divergences,max_rhat,c_index,n_events,mu_approach_SAVR_mean,mu_approach_SAVR_sd,mu_approach_SAVR_true,mu_approach_TAVR_mean,mu_approach_TAVR_sd,mu_approach_TAVR_true,mu_approach_ViV-TAVR_mean,mu_approach_ViV-TAVR_sd,mu_approach_ViV-TAVR_true,shape_k_mean,shape_k_sd,shape_k_true,tau_family_mean
0,13,1.00732045130102,0.5592105263157895,5,3.2499235994428,0.2872656554210246,2.70805020110221,3.081728028410993,0.35120284447362193,2.995732273553991,3.0209155712159537,0.38108691972941994,2.995732273553991,2.349350202595509,0.696841189116601,3.5,0.33679893766909347
1,22,1.0059397104464243,0.6666666666666666,6,3.1695809313892953,0.29307676151825846,2.70805020110221,3.0792215670048675,0.36944170666324627,2.995732273553991,3.034466790473055,0.3922489878061117,2.995732273553991,2.1620315422624627,0.6199163229777576,3.5,0.39085888162732696
2,21,1.0042506458185372,0.6621621621621622,7,3.045594633735764,0.2718226044955904,2.70805020110221,3.0878479845937927,0.38100405755304084,2.995732273553991,3.026120629596118,0.39516080906288853,2.995732273553991,2.2804506121254295,0.6705044432243136,3.5,0.4023914064826165
3,16,1.0058714777936801,0.6756756756756757,5,3.270418992342303,0.291954314929318,2.70805020110221,3.0970784725812006,0.375063142834859,2.995732273553991,3.0349416558592606,0.3742368747565189,2.995732273553991,2.4816105471988936,0.7449935362385822,3.5,0.38325013804263147
4,6,1.0072699541516057,0.603448275862069,7,2.962012897150993,0.23789891743235675,2.70805020110221,3.0576385691351047,0.3766810054879746,2.995732273553991,3.0232809925667645,0.3898653517815437,2.995732273553991,2.753648697043509,0.8478041889279166,3.5,0.29632517077433124
5,6,1.0031452137844412,0.5869565217391305,5,3.2333318943355795,0.28647322344681825,2.70805020110221,3.0778665137135786,0.3787449898354099,2.995732273553991,3.014017135890154,0.3904387031521479,2.995732273553991,2.4065140529002425,0.7155018550328105,3.5,0.3287970719440402
6,2,1.0023045900848924,0.515625,7,2.857989606149015,0.20000321628847237,2.70805020110221,3.0375897794140534,0.37587796397635576,2.995732273553991,3.005914118692148,0.388284599562553,2.995732273553991,3.5339296835550265,1.093301925813284,3.5,0.2958699897359066
7,4,1.0037860174293078,0.5759493670886076,6,3.073779909097521,0.2683854499492979,2.70805020110221,3.0692573126251905,0.3664962333423401,2.995732273553991,3.023643260305837,0.38758580575390866,2.995732273553991,2.6333081351886736,0.8242528254812621,3.5,0.3212119932344907
8,9,1.0045187950731853,0.6176470588235294,4,3.4007649329224137,0.3149402095170114,2.70805020110221,3.0877951213857036,0.3620422743936259,2.995732273553991,3.0135425464684347,0.40765584293356616,2.995732273553991,2.1772172954280187,0.6329051032768913,3.5,0.3328621332710192
9,46,1.0047244626955274,0.5222222222222223,4,3.508941092798335,0.3118602530887751,2.70805020110221,3.1054943475127756,0.3779360287521254,2.995732273553991,3.040902569314973,0.3802562863160771,2.995732273553991,1.8271500759324923,0.4485896798265255,3.5,0.34807415623175186
10,1,1.0078483318131037,0.5902777777777778,8,2.807385238009192,0.1932421773207252,2.70805020110221,3.037631506907828,0.3801086785805183,2.995732273553991,2.9912274721711998,0.39505366545935106,2.995732273553991,3.725230662477604,1.1644159631200557,3.5,0.3077945519298371
11,3,1.01383464701388,0.6243523316062176,13,2.7050762744943206,0.19822676547675058,2.70805020110221,3.0854664314319207,0.3732352934242063,2.995732273553991,3.033455865316742,0.39762179755751026,2.995732273553991,2.3520816605722903,0.5443666338592903,3.5,0.3637068666552352
12,0,1.0079058955180107,0.6578947368421053,4,3.0681746994105183,0.2879289433392226,2.70805020110221,3.039124633550156,0.38045681673491155,2.995732273553991,3.0229293311540713,0.3778847591330196,2.995732273553991,3.937944012298451,1.698306981088163,3.5,0.36644345205360573
13,5,1.0026618538497223,0.6382978723404256,6,3.167249398112002,0.26508573740316477,2.70805020110221,3.0693315525126623,0.34606969253992287,2.995732273553991,3.0238439704063724,0.36647393769747627,2.995732273553991,2.3137263316174246,0.6424408821420147,3.5,0.3743677140772643
14,1,1.0037272893042748,0.5495049504950495,9,2.736579326173888,0.17504770453959717,2.70805020110221,3.0682276280743253,0.38620093337226996,2.995732273553991,3.0005562272278725,0.4036091324339327,2.995732273553991,3.417455790249695,0.9829049519419638,3.5,0.30124931033002694
15,0,1.0078050953156972,0.6504854368932039,9,2.6217788700844116,0.1577161568271054,2.70805020110221,3.014593314935292,0.3946354676595706,2.995732273553991,3.003872779429204,0.3852854581910082,2.995732273553991,4.188572465553419,1.3076491186647217,3.5,0.3675288681709592
16,6,1.003202399311297,0.6359223300970874,8,2.8309949989054486,0.24270650644350808,2.70805020110221,3.0671326910715297,0.3802560169982617,2.995732273553991,3.0244648292485175,0.36972269050669676,2.995732273553991,2.7823139224328535,0.8859550840410156,3.5,0.30068692337111447
17,9,1.007174058669597,0.6363636363636364,9,2.932550870946457,0.231396821272059,2.70805020110221,3.077366336540318,0.35648180906129745,2.995732273553991,3.0161263095436204,0.3991280228092467,2.995732273553991,2.237954334764042,0.5958414405876741,3.5,0.33289503051213826
18,10,1.0070776939347288,0.626984126984127,5,3.1654759158917525,0.30271051046261216,2.70805020110221,3.070123354761887,0.3615606194338873,2.995732273553991,3.0227302649719525,0.3884572889312737,2.995732273553991,2.64627628986162,0.8976334538963285,3.5,0.37320901692113895
19,2,1.008348680112587,0.6024096385542169,7,2.905454764192304,0.23276865715505696,2.70805020110221,3.041013636213586,0.3647552712178081,2.995732273553991,3.028741275561923,0.38225217377104787,2.995732273553991,3.2722118810734635,1.0335582387746802,3.5,0.3437019051614328
20,7,1.0015630662213262,0.7450980392156863,5,3.0696301206041894,0.2763748581562271,2.70805020110221,3.070127322905985,0.4107708020874356,2.995732273553991,3.031344583500162,0.41109865601902557,2.995732273553991,3.2543744007895614,1.1840728314580853,3.5,0.37820982634209205
21,7,1.0051984404370202,0.609375,4,3.204751634004241,0.29190416716411655,2.70805020110221,3.0499873285151256,0.3674582845386719,2.995732273553991,3.0150638577292006,0.40386287730382053,2.995732273553991,3.1486522364836316,1.1790220784418879,3.5,0.33838556383892426
