,mean,sd,eti89_lb,eti89_ub,ess_bulk,ess_tail,r_hat,mcse_mean,mcse_sd
shape_k,3.656508606340552,1.1172534336873572,2.111111853610891,5.631991152721563,4256.878053118223,4363.761037713943,1.0006090376486392,0.01629328638855123,0.012979132571455809
mu_approach[SAVR],2.8581117605439723,0.18234527769851078,2.630331931016208,3.1849359130640944,4264.117431837706,3573.5293573991717,1.0005727550056442,0.0030767191684145274,0.003688092944094058
mu_approach[TAVR],3.045622560237838,0.37879622636318877,2.4521153949863312,3.669989659751946,7534.951748245173,5853.1615707291085,1.0016687072244073,0.0043725653935395336,0.004223015977258909
mu_approach[ViV-TAVR],3.0113771331482435,0.39445285754804743,2.3900904682381348,3.6494758551868096,7370.5337337236215,5903.557455074936,1.000449547870391,0.004594791809409752,0.004628144210141379
tau_family,0.2987392683645575,0.24268789251749662,0.02336455989589229,0.7559997755139327,3468.042670685825,2955.3253187265877,1.000277306045942,0.00344237941851326,0.002797354272906744
beta_ppm,0.10857354931357967,0.26063388040474056,-0.2957005012983064,0.5334071083265334,6170.372842448488,4941.687161059343,1.0003035524037984,0.0033433980673156123,0.00307202672822331
